frame,joint,x,y
5,hoof_rear_right,662,842
6,nose,1739,604
6,poll,1700,333
6,withers,1375,101
6,spine_1,1093,29
6,spine_2,944,29
6,spine_3,722,50
6,hip,561,181
6,tail_base,529,126
6,knee_front_left,1182,643
6,knee_front_right,1363,662
6,hock_rear_left,531,516
6,hock_rear_right,537,571
6,hoof_front_left,1170,834
6,hoof_front_right,1432,857
6,hoof_rear_left,514,766
6,hoof_rear_right,648,832
7,nose,1730,604
7,poll,1698,335
7,withers,1377,101
7,spine_1,1087,29
7,spine_2,944,31
7,spine_3,724,52
7,hip,559,187
7,tail_base,508,122
7,knee_front_left,1161,641
7,knee_front_right,1342,656
7,hock_rear_left,543,514
7,hock_rear_right,549,559
7,hoof_front_left,1147,834
7,hoof_front_right,1404,849
7,hoof_rear_left,553,770
7,hoof_rear_right,625,834
8,nose,1718,608
8,poll,1689,335
8,withers,1371,101
8,spine_1,1063,23
8,spine_2,917,25
8,spine_3,709,48
8,hip,553,194
8,tail_base,496,113
8,knee_front_left,1141,649
8,knee_front_right,1319,656
8,hock_rear_left,557,526
8,hock_rear_right,531,569
8,hoof_front_left,1120,828
8,hoof_front_right,1375,851
8,hoof_rear_left,602,764
8,hoof_rear_right,596,834
9,nose,1700,606
9,poll,1681,337
9,withers,1359,99
9,spine_1,1050,25
9,spine_2,898,27
9,spine_3,695,48
9,hip,535,204
9,tail_base,496,118
9,knee_front_left,1147,641
9,knee_front_right,1297,655
9,hock_rear_left,588,582
9,hock_rear_right,500,559
9,hoof_front_left,1087,832
9,hoof_front_right,1348,853
9,hoof_rear_left,650,773
9,hoof_rear_right,566,832
10,nose,1683,606
10,poll,1663,337
10,withers,1346,101
10,spine_1,1052,27
10,spine_2,898,29
10,spine_3,678,48
10,hip,533,179
10,tail_base,483,118
10,knee_front_left,1141,653
10,knee_front_right,1272,660
10,hock_rear_left,598,590
10,hock_rear_right,487,563
10,hoof_front_left,1065,824
10,hoof_front_right,1332,861
10,hoof_rear_left,695,799
10,hoof_rear_right,543,838
11,nose,1669,617
11,poll,1648,345
11,withers,1338,120
11,spine_1,1017,29
11,spine_2,859,33
11,spine_3,650,56
11,hip,496,204
11,tail_base,461,134
11,knee_front_left,1170,666
11,knee_front_right,1246,668
11,hock_rear_left,617,582
11,hock_rear_right,465,565
11,hoof_front_left,1063,820
11,hoof_front_right,1305,861
11,hoof_rear_left,734,807
11,hoof_rear_right,524,846
12,nose,1661,627
12,poll,1652,362
12,withers,1324,115
12,spine_1,1009,31
12,spine_2,861,33
12,spine_3,642,64
12,hip,496,212
12,tail_base,450,142
12,knee_front_left,1167,678
12,knee_front_right,1221,680
12,hock_rear_left,650,608
12,hock_rear_right,450,578
12,hoof_front_left,1083,818
12,hoof_front_right,1280,861
12,hoof_rear_left,783,824
12,hoof_rear_right,477,848
13,nose,1652,629
13,poll,1638,347
13,withers,1322,118
13,spine_1,989,33
13,spine_2,868,38
13,spine_3,644,64
13,hip,490,202
13,tail_base,455,138
13,knee_front_left,1237,653
13,knee_front_right,1207,688
13,hock_rear_left,678,616
13,hock_rear_right,440,580
13,hoof_front_left,1118,803
13,hoof_front_right,1244,871
13,hoof_rear_left,818,836
13,hoof_rear_right,463,855
14,nose,1650,627
14,poll,1626,356
14,withers,1336,124
14,spine_1,1020,35
14,spine_2,878,37
14,spine_3,660,66
14,hip,490,214
14,tail_base,444,142
14,knee_front_left,1272,635
14,knee_front_right,1188,676
14,hock_rear_left,674,616
14,hock_rear_right,434,567
14,hoof_front_left,1176,814
14,hoof_front_right,1221,879
14,hoof_rear_left,816,840
14,hoof_rear_right,446,853
15,nose,1644,633
15,poll,1638,364
15,withers,1324,120
15,spine_1,1013,38
15,spine_2,880,38
15,spine_3,642,66
15,hip,500,212
15,tail_base,446,144
15,knee_front_left,1270,627
15,knee_front_right,1200,676
15,hock_rear_left,685,612
15,hock_rear_right,436,584
15,hoof_front_left,1190,807
15,hoof_front_right,1217,867
15,hoof_rear_left,810,842
15,hoof_rear_right,436,851
16,nose,1654,633
16,poll,1642,368
16,withers,1322,128
16,spine_1,1018,42
16,spine_2,853,46
16,spine_3,629,74
16,hip,485,224
16,tail_base,448,155
16,knee_front_left,1305,625
16,knee_front_right,1184,676
16,hock_rear_left,658,612
16,hock_rear_right,422,580
16,hoof_front_left,1268,791
16,hoof_front_right,1204,875
16,hoof_rear_left,800,848
16,hoof_rear_right,420,851
17,nose,1659,637
17,poll,1642,362
17,withers,1338,120
17,spine_1,1015,33
17,spine_2,861,38
17,spine_3,644,74
17,hip,496,212
17,tail_base,442,157
17,knee_front_left,1330,625
17,knee_front_right,1178,684
17,hock_rear_left,637,623
17,hock_rear_right,422,582
17,hoof_front_left,1338,824
17,hoof_front_right,1204,869
17,hoof_rear_left,783,848
17,hoof_rear_right,413,848
18,nose,1665,647
18,poll,1634,358
18,withers,1336,124
18,spine_1,1015,42
18,spine_2,902,40
18,spine_3,650,74
18,hip,510,224
18,tail_base,453,152
18,knee_front_left,1359,633
18,knee_front_right,1165,668
18,hock_rear_left,623,621
18,hock_rear_right,405,584
18,hoof_front_left,1400,842
18,hoof_front_right,1182,879
18,hoof_rear_left,765,848
18,hoof_rear_right,403,853
19,nose,1673,629
19,poll,1652,370
19,withers,1340,120
19,spine_1,1018,44
19,spine_2,890,44
19,spine_3,633,74
19,hip,508,228
19,tail_base,453,155
19,knee_front_left,1389,641
19,knee_front_right,1153,668
19,hock_rear_left,613,627
19,hock_rear_right,403,577
19,hoof_front_left,1453,849
19,hoof_front_right,1167,877
19,hoof_rear_left,755,851
19,hoof_rear_right,377,846
20,nose,1683,635
20,poll,1659,368
20,withers,1340,136
20,spine_1,1015,42
20,spine_2,872,38
20,spine_3,650,72
20,hip,512,224
20,tail_base,448,157
20,knee_front_left,1398,660
20,knee_front_right,1141,676
20,hock_rear_left,609,621
20,hock_rear_right,391,580
20,hoof_front_left,1470,855
20,hoof_front_right,1151,877
20,hoof_rear_left,736,849
20,hoof_rear_right,358,851
21,nose,1695,639
21,poll,1663,362
21,withers,1332,128
21,spine_1,1005,44
21,spine_2,892,46
21,spine_3,650,77
21,hip,506,224
21,tail_base,448,159
21,knee_front_left,1396,658
21,knee_front_right,1124,676
21,hock_rear_left,578,623
21,hock_rear_right,399,565
21,hoof_front_left,1474,863
21,hoof_front_right,1130,883
21,hoof_rear_left,728,853
21,hoof_rear_right,346,855
22,nose,1700,635
22,poll,1658,360
22,withers,1346,132
22,spine_1,1020,56
22,spine_2,853,54
22,spine_3,660,81
22,hip,506,210
22,tail_base,467,154
22,knee_front_left,1389,658
22,knee_front_right,1122,672
22,hock_rear_left,582,621
22,hock_rear_right,401,567
22,hoof_front_left,1463,867
22,hoof_front_right,1110,879
22,hoof_rear_left,705,855
22,hoof_rear_right,344,851
23,nose,1716,633
23,poll,1665,362
23,withers,1336,150
23,spine_1,1028,50
23,spine_2,907,58
23,spine_3,648,83
23,hip,514,226
23,tail_base,463,159
23,knee_front_left,1371,662
23,knee_front_right,1104,672
23,hock_rear_left,576,639
23,hock_rear_right,389,582
23,hoof_front_left,1443,863
23,hoof_front_right,1098,875
23,hoof_rear_left,681,855
23,hoof_rear_right,337,846
24,nose,1726,625
24,poll,1669,354
24,withers,1336,132
24,spine_1,1022,58
24,spine_2,894,56
24,spine_3,654,77
24,hip,514,235
24,tail_base,457,152
24,knee_front_left,1371,672
24,knee_front_right,1110,676
24,hock_rear_left,555,608
24,hock_rear_right,407,567
24,hoof_front_left,1445,875
24,hoof_front_right,1096,879
24,hoof_rear_left,670,855
24,hoof_rear_right,360,844
25,nose,1724,633
25,poll,1671,364
25,withers,1354,150
25,spine_1,1040,56
25,spine_2,904,58
25,spine_3,685,77
25,hip,533,224
25,tail_base,450,154
25,knee_front_left,1365,674
25,knee_front_right,1104,678
25,hock_rear_left,555,604
25,hock_rear_right,414,559
25,hoof_front_left,1439,875
25,hoof_front_right,1079,873
25,hoof_rear_left,666,848
25,hoof_rear_right,354,834
26,nose,1730,629
26,poll,1687,356
26,withers,1350,142
26,spine_1,1069,60
26,spine_2,931,60
26,spine_3,674,79
26,hip,526,222
26,tail_base,455,155
26,knee_front_left,1354,680
26,knee_front_right,1094,684
26,hock_rear_left,545,608
26,hock_rear_right,424,571
26,hoof_front_left,1422,869
26,hoof_front_right,1065,879
26,hoof_rear_left,650,855
26,hoof_rear_right,409,842
27,nose,1741,616
27,poll,1683,347
27,withers,1359,152
27,spine_1,1042,60
27,spine_2,929,56
27,spine_3,652,83
27,hip,526,214
27,tail_base,448,152
27,knee_front_left,1348,664
27,knee_front_right,1096,684
27,hock_rear_left,549,614
27,hock_rear_right,438,580
27,hoof_front_left,1408,873
27,hoof_front_right,1057,888
27,hoof_rear_left,637,861
27,hoof_rear_right,469,861
28,nose,1739,606
28,poll,1685,343
28,withers,1359,132
28,spine_1,1034,60
28,spine_2,915,60
28,spine_3,685,79
28,hip,537,235
28,tail_base,465,161
28,knee_front_left,1328,670
28,knee_front_right,1094,684
28,hock_rear_left,539,604
28,hock_rear_right,494,580
28,hoof_front_left,1387,873
28,hoof_front_right,1040,887
28,hoof_rear_left,635,869
28,hoof_rear_right,524,861
29,nose,1749,600
29,poll,1685,331
29,withers,1348,130
29,spine_1,1040,58
29,spine_2,911,52
29,spine_3,668,81
29,hip,537,237
29,tail_base,459,159
29,knee_front_left,1315,662
29,knee_front_right,1096,684
29,hock_rear_left,537,592
29,hock_rear_right,512,604
29,hoof_front_left,1385,879
29,hoof_front_right,1026,883
29,hoof_rear_left,553,824
29,hoof_rear_right,611,877
30,nose,1743,596
30,poll,1695,335
30,withers,1363,142
30,spine_1,1063,62
30,spine_2,925,56
30,spine_3,652,79
30,hip,526,259
30,tail_base,457,165
30,knee_front_left,1309,672
30,knee_front_right,1104,697
30,hock_rear_left,526,594
30,hock_rear_right,566,631
30,hoof_front_left,1363,875
30,hoof_front_right,1018,879
30,hoof_rear_left,598,861
30,hoof_rear_right,685,875
31,nose,1747,588
31,poll,1693,325
31,withers,1346,128
31,spine_1,1046,60
31,spine_2,904,56
31,spine_3,635,87
31,hip,533,243
31,tail_base,463,163
31,knee_front_left,1297,672
31,knee_front_right,1122,703
31,hock_rear_left,522,547
31,hock_rear_right,588,608
31,hoof_front_left,1338,875
31,hoof_front_right,1018,875
31,hoof_rear_left,590,855
31,hoof_rear_right,757,885
32,nose,1749,596
32,poll,1696,331
32,withers,1352,130
32,spine_1,1054,60
32,spine_2,904,58
32,spine_3,646,99
32,hip,518,245
32,tail_base,455,161
32,knee_front_left,1291,670
32,knee_front_right,1153,707
32,hock_rear_left,510,584
32,hock_rear_right,639,629
32,hoof_front_left,1330,867
32,hoof_front_right,1040,842
32,hoof_rear_left,559,873
32,hoof_rear_right,796,883
33,nose,1755,600
33,poll,1693,333
33,withers,1356,136
33,spine_1,1075,66
33,spine_2,915,58
33,spine_3,646,101
33,hip,531,251
33,tail_base,455,163
33,knee_front_left,1287,670
33,knee_front_right,1190,697
33,hock_rear_left,508,596
33,hock_rear_right,662,635
33,hoof_front_left,1319,885
33,hoof_front_right,1071,849
33,hoof_rear_left,555,865
33,hoof_rear_right,837,883
34,nose,1739,600
34,poll,1667,341
34,withers,1354,140
34,spine_1,1017,56
34,spine_2,861,66
34,spine_3,672,93
34,hip,531,245
34,tail_base,465,155
34,knee_front_left,1283,678
34,knee_front_right,1221,703
34,hock_rear_left,492,604
34,hock_rear_right,650,647
34,hoof_front_left,1268,848
34,hoof_front_right,1135,844
34,hoof_rear_left,537,861
34,hoof_rear_right,816,890
35,nose,1745,606
35,poll,1665,339
35,withers,1340,136
35,spine_1,1069,68
35,spine_2,921,56
35,spine_3,662,85
35,hip,531,249
35,tail_base,457,165
35,knee_front_left,1270,684
35,knee_front_right,1223,699
35,hock_rear_left,492,602
35,hock_rear_right,648,649
35,hoof_front_left,1270,865
35,hoof_front_right,1122,853
35,hoof_rear_left,543,867
35,hoof_rear_right,810,892
36,nose,1741,608
36,poll,1685,345
36,withers,1350,124
36,spine_1,1055,68
36,spine_2,917,70
36,spine_3,650,95
36,hip,527,251
36,tail_base,465,171
36,knee_front_left,1262,680
36,knee_front_right,1243,705
36,hock_rear_left,492,610
36,hock_rear_right,627,649
36,hoof_front_left,1289,881
36,hoof_front_right,1178,865
36,hoof_rear_left,518,875
36,hoof_rear_right,787,894
37,nose,1741,621
37,poll,1704,362
37,withers,1354,138
37,spine_1,1052,60
37,spine_2,929,64
37,spine_3,662,101
37,hip,537,249
37,tail_base,457,171
37,knee_front_left,1229,697
37,knee_front_right,1272,694
37,hock_rear_left,483,604
37,hock_rear_right,609,649
37,hoof_front_left,1215,859
37,hoof_front_right,1254,883
37,hoof_rear_left,504,879
37,hoof_rear_right,775,898
38,nose,1741,627
38,poll,1693,356
38,withers,1359,144
38,spine_1,1065,72
38,spine_2,890,70
38,spine_3,678,109
38,hip,531,269
38,tail_base,469,165
38,knee_front_left,1227,680
38,knee_front_right,1315,684
38,hock_rear_left,483,604
38,hock_rear_right,596,649
38,hoof_front_left,1250,885
38,hoof_front_right,1336,890
38,hoof_rear_left,475,873
38,hoof_rear_right,759,896
39,nose,1734,629
39,poll,1700,372
39,withers,1352,138
39,spine_1,1038,74
39,spine_2,816,77
39,spine_3,668,105
39,hip,522,251
39,tail_base,457,167
39,knee_front_left,1213,680
39,knee_front_right,1338,684
39,hock_rear_left,473,600
39,hock_rear_right,588,656
39,hoof_front_left,1229,879
39,hoof_front_right,1404,890
39,hoof_rear_left,459,871
39,hoof_rear_right,740,898
40,nose,1743,635
40,poll,1687,360
40,withers,1342,146
40,spine_1,1032,68
40,spine_2,884,77
40,spine_3,662,101
40,hip,516,255
40,tail_base,455,161
40,knee_front_left,1198,684
40,knee_front_right,1363,694
40,hock_rear_left,471,594
40,hock_rear_right,578,658
40,hoof_front_left,1209,885
40,hoof_front_right,1451,892
40,hoof_rear_left,453,873
40,hoof_rear_right,740,892
41,nose,1735,641
41,poll,1689,362
41,withers,1361,154
41,spine_1,1026,72
41,spine_2,859,74
41,spine_3,678,113
41,hip,510,259
41,tail_base,467,157
41,knee_front_left,1192,680
41,knee_front_right,1393,697
41,hock_rear_left,459,580
41,hock_rear_right,555,635
41,hoof_front_left,1206,879
41,hoof_front_right,1496,900
41,hoof_rear_left,430,879
41,hoof_rear_right,716,896
42,nose,1732,641
42,poll,1696,368
42,withers,1342,155
42,spine_1,1015,74
42,spine_2,867,76
42,spine_3,650,122
42,hip,510,270
42,tail_base,463,169
42,knee_front_left,1159,697
42,knee_front_right,1398,705
42,hock_rear_left,455,590
42,hock_rear_right,543,641
42,hoof_front_left,1178,883
42,hoof_front_right,1496,918
42,hoof_rear_left,418,877
42,hoof_rear_right,693,906
43,nose,1737,639
43,poll,1695,368
43,withers,1348,146
43,spine_1,1040,79
43,spine_2,876,70
43,spine_3,642,140
43,hip,500,243
43,tail_base,448,165
43,knee_front_left,1163,692
43,knee_front_right,1389,715
43,hock_rear_left,444,584
43,hock_rear_right,535,653
43,hoof_front_left,1151,883
43,hoof_front_right,1472,916
43,hoof_rear_left,409,869
43,hoof_rear_right,672,898
44,nose,1737,653
44,poll,1691,378
44,withers,1356,148
44,spine_1,1007,66
44,spine_2,868,70
44,spine_3,627,93
44,hip,514,241
44,tail_base,463,163
44,knee_front_left,1155,688
44,knee_front_right,1375,717
44,hock_rear_left,448,580
44,hock_rear_right,527,639
44,hoof_front_left,1141,887
44,hoof_front_right,1453,927
44,hoof_rear_left,405,857
44,hoof_rear_right,660,906
45,nose,1735,656
45,poll,1691,378
45,withers,1346,163
45,spine_1,1036,77
45,spine_2,878,81
45,spine_3,654,97
45,hip,492,235
45,tail_base,461,161
45,knee_front_left,1155,672
45,knee_front_right,1387,715
45,hock_rear_left,450,577
45,hock_rear_right,522,631
45,hoof_front_left,1145,883
45,hoof_front_right,1470,931
45,hoof_rear_left,409,861
45,hoof_rear_right,662,902
46,nose,1732,666
46,poll,1693,382
46,withers,1359,163
46,spine_1,1040,76
46,spine_2,880,76
46,spine_3,642,118
46,hip,508,243
46,tail_base,455,165
46,knee_front_left,1130,694
46,knee_front_right,1354,713
46,hock_rear_left,446,577
46,hock_rear_right,520,635
46,hoof_front_left,1130,892
46,hoof_front_right,1449,933
46,hoof_rear_left,428,857
46,hoof_rear_right,650,908
47,nose,1730,664
47,poll,1695,382
47,withers,1359,163
47,spine_1,1063,87
47,spine_2,909,72
47,spine_3,658,101
47,hip,502,245
47,tail_base,459,171
47,knee_front_left,1135,688
47,knee_front_right,1348,711
47,hock_rear_left,461,577
47,hock_rear_right,490,645
47,hoof_front_left,1106,887
47,hoof_front_right,1439,937
47,hoof_rear_left,463,840
47,hoof_rear_right,609,900
48,nose,1728,668
48,poll,1693,382
48,withers,1354,167
48,spine_1,1075,81
48,spine_2,923,70
48,spine_3,658,105
48,hip,492,241
48,tail_base,461,169
48,knee_front_left,1118,680
48,knee_front_right,1348,717
48,hock_rear_left,465,577
48,hock_rear_right,490,623
48,hoof_front_left,1089,892
48,hoof_front_right,1412,933
48,hoof_rear_left,492,851
48,hoof_rear_right,603,906
49,nose,1718,684
49,poll,1683,380
49,withers,1365,165
49,spine_1,1094,93
49,spine_2,931,74
49,spine_3,654,101
49,hip,516,253
49,tail_base,461,159
49,knee_front_left,1110,697
49,knee_front_right,1332,721
49,hock_rear_left,498,592
49,hock_rear_right,487,629
49,hoof_front_left,1079,887
49,hoof_front_right,1408,941
49,hoof_rear_left,539,842
49,hoof_rear_right,580,910
50,nose,1718,670
50,poll,1687,387
50,withers,1357,165
50,spine_1,1073,87
50,spine_2,915,74
50,spine_3,650,101
50,hip,494,249
50,tail_base,461,161
50,knee_front_left,1094,703
50,knee_front_right,1305,719
50,hock_rear_left,549,629
50,hock_rear_right,471,627
50,hoof_front_left,1052,883
50,hoof_front_right,1381,935
50,hoof_rear_left,617,840
50,hoof_rear_right,576,900
51,nose,1730,664
51,poll,1675,389
51,withers,1357,155
51,spine_1,1050,74
51,spine_2,896,70
51,spine_3,639,101
51,hip,514,243
51,tail_base,448,159
51,knee_front_left,1112,690
51,knee_front_right,1305,717
51,hock_rear_left,566,641
51,hock_rear_right,453,631
51,hoof_front_left,1048,888
51,hoof_front_right,1356,933
51,hoof_rear_left,678,861
51,hoof_rear_right,549,906
52,nose,1722,670
52,poll,1669,384
52,withers,1371,155
52,spine_1,1067,74
52,spine_2,874,72
52,spine_3,635,101
52,hip,516,226
52,tail_base,453,167
52,knee_front_left,1124,694
52,knee_front_right,1297,723
52,hock_rear_left,603,629
52,hock_rear_right,463,627
52,hoof_front_left,1022,875
52,hoof_front_right,1344,933
52,hoof_rear_left,724,861
52,hoof_rear_right,529,906
53,nose,1712,676
53,poll,1685,389
53,withers,1354,155
53,spine_1,1048,72
53,spine_2,872,70
53,spine_3,629,97
53,hip,498,235
53,tail_base,453,163
53,knee_front_left,1161,697
53,knee_front_right,1270,719
53,hock_rear_left,654,651
53,hock_rear_right,452,621
53,hoof_front_left,1030,865
53,hoof_front_right,1328,933
53,hoof_rear_left,794,871
53,hoof_rear_right,520,906
54,nose,1696,672
54,poll,1675,391
54,withers,1352,161
54,spine_1,1038,74
54,spine_2,859,68
54,spine_3,625,107
54,hip,494,253
54,tail_base,444,161
54,knee_front_left,1178,709
54,knee_front_right,1262,731
54,hock_rear_left,664,647
54,hock_rear_right,444,614
54,hoof_front_left,1048,857
54,hoof_front_right,1324,937
54,hoof_rear_left,833,881
54,hoof_rear_right,490,912
55,nose,1708,680
55,poll,1681,399
55,withers,1369,165
55,spine_1,1059,76
55,spine_2,857,66
55,spine_3,646,93
55,hip,500,237
55,tail_base,450,159
55,knee_front_left,1178,715
55,knee_front_right,1256,729
55,hock_rear_left,678,649
55,hock_rear_right,444,616
55,hoof_front_left,1048,851
55,hoof_front_right,1299,937
55,hoof_rear_left,828,879
55,hoof_rear_right,477,908
56,nose,1708,688
56,poll,1669,393
56,withers,1352,154
56,spine_1,1048,74
56,spine_2,884,58
56,spine_3,642,87
56,hip,494,235
56,tail_base,434,173
56,knee_front_left,1206,711
56,knee_front_right,1246,725
56,hock_rear_left,683,625
56,hock_rear_right,444,608
56,hoof_front_left,1077,848
56,hoof_front_right,1287,941
56,hoof_rear_left,872,890
56,hoof_rear_right,500,910
57,nose,1695,695
57,poll,1675,397
57,withers,1354,155
57,spine_1,1067,79
57,spine_2,900,66
57,spine_3,623,95
57,hip,498,226
57,tail_base,428,155
57,knee_front_left,1270,699
57,knee_front_right,1237,729
57,hock_rear_left,691,635
57,hock_rear_right,422,612
57,hoof_front_left,1145,849
57,hoof_front_right,1262,935
57,hoof_rear_left,843,887
57,hoof_rear_right,465,914
58,nose,1704,694
58,poll,1673,403
58,withers,1367,155
58,spine_1,1036,66
58,spine_2,865,64
58,spine_3,650,95
58,hip,496,233
58,tail_base,461,159
58,knee_front_left,1301,684
58,knee_front_right,1223,729
58,hock_rear_left,666,660
58,hock_rear_right,424,614
58,hoof_front_left,1202,865
58,hoof_front_right,1252,931
58,hoof_rear_left,824,888
58,hoof_rear_right,438,906
59,nose,1700,694
59,poll,1673,407
59,withers,1344,152
59,spine_1,1048,76
59,spine_2,874,60
59,spine_3,656,95
59,hip,516,230
59,tail_base,442,161
59,knee_front_left,1340,662
59,knee_front_right,1207,719
59,hock_rear_left,656,658
59,hock_rear_right,399,608
59,hoof_front_left,1295,863
59,hoof_front_right,1239,937
59,hoof_rear_left,812,892
59,hoof_rear_right,426,904
60,nose,1702,692
60,poll,1667,430
60,withers,1359,159
60,spine_1,1020,70
60,spine_2,853,72
60,spine_3,656,97
60,hip,510,237
60,tail_base,452,152
60,knee_front_left,1379,672
60,knee_front_right,1196,715
60,hock_rear_left,631,656
60,hock_rear_right,401,606
60,hoof_front_left,1356,883
60,hoof_front_right,1207,937
60,hoof_rear_left,789,887
60,hoof_rear_right,407,910
61,nose,1700,697
61,poll,1687,419
61,withers,1359,155
61,spine_1,1020,74
61,spine_2,876,72
61,spine_3,642,97
61,hip,508,230
61,tail_base,455,159
61,knee_front_left,1391,678
61,knee_front_right,1176,731
61,hock_rear_left,623,664
61,hock_rear_right,393,614
61,hoof_front_left,1424,883
61,hoof_front_right,1198,935
61,hoof_rear_left,765,887
61,hoof_rear_right,385,902
62,nose,1712,699
62,poll,1691,413
62,withers,1354,155
62,spine_1,1059,83
62,spine_2,880,62
62,spine_3,672,93
62,hip,504,222
62,tail_base,457,163
62,knee_front_left,1410,682
62,knee_front_right,1176,715
62,hock_rear_left,605,651
62,hock_rear_right,393,606
62,hoof_front_left,1474,896
62,hoof_front_right,1186,931
62,hoof_rear_left,761,888
62,hoof_rear_right,377,908
63,nose,1722,697
63,poll,1679,403
63,withers,1369,157
63,spine_1,1036,74
63,spine_2,861,79
63,spine_3,652,113
63,hip,504,245
63,tail_base,457,165
63,knee_front_left,1416,694
63,knee_front_right,1169,713
63,hock_rear_left,602,655
63,hock_rear_right,379,623
63,hoof_front_left,1511,910
63,hoof_front_right,1172,933
63,hoof_rear_left,755,887
63,hoof_rear_right,366,896
64,nose,1730,694
64,poll,1695,409
64,withers,1354,157
64,spine_1,1038,72
64,spine_2,904,79
64,spine_3,678,89
64,hip,518,231
64,tail_base,455,165
64,knee_front_left,1420,707
64,knee_front_right,1165,713
64,hock_rear_left,590,643
64,hock_rear_right,389,616
64,hoof_front_left,1525,920
64,hoof_front_right,1165,937
64,hoof_rear_left,720,885
64,hoof_rear_right,344,898
65,nose,1724,697
65,poll,1700,424
65,withers,1354,154
65,spine_1,1046,77
65,spine_2,890,77
65,spine_3,658,101
65,hip,502,230
65,tail_base,455,157
65,knee_front_left,1422,711
65,knee_front_right,1157,719
65,hock_rear_left,588,651
65,hock_rear_right,381,610
65,hoof_front_left,1511,916
65,hoof_front_right,1145,933
65,hoof_rear_left,728,888
65,hoof_rear_right,344,902
66,nose,1732,686
66,poll,1700,411
66,withers,1365,150
66,spine_1,1048,79
66,spine_2,872,76
66,spine_3,652,113
66,hip,504,226
66,tail_base,453,159
66,knee_front_left,1416,697
66,knee_front_right,1139,703
66,hock_rear_left,570,643
66,hock_rear_right,397,602
66,hoof_front_left,1498,925
66,hoof_front_right,1131,927
66,hoof_rear_left,715,887
66,hoof_rear_right,344,892
67,nose,1743,688
67,poll,1700,413
67,withers,1367,165
67,spine_1,1048,79
67,spine_2,867,68
67,spine_3,674,101
67,hip,508,249
67,tail_base,461,161
67,knee_front_left,1422,711
67,knee_front_right,1131,715
67,hock_rear_left,561,643
67,hock_rear_right,393,590
67,hoof_front_left,1498,916
67,hoof_front_right,1124,927
67,hoof_rear_left,699,883
67,hoof_rear_right,339,888
68,nose,1749,684
68,poll,1700,409
68,withers,1367,163
68,spine_1,1046,77
68,spine_2,853,70
68,spine_3,678,105
68,hip,514,245
68,tail_base,455,155
68,knee_front_left,1400,701
68,knee_front_right,1128,711
68,hock_rear_left,570,645
68,hock_rear_right,393,588
68,hoof_front_left,1469,922
68,hoof_front_right,1110,935
68,hoof_rear_left,697,888
68,hoof_rear_right,358,887
69,nose,1755,692
69,poll,1695,399
69,withers,1373,169
69,spine_1,1048,85
69,spine_2,942,77
69,spine_3,668,91
69,hip,527,216
69,tail_base,448,148
69,knee_front_left,1391,705
69,knee_front_right,1106,711
69,hock_rear_left,533,621
69,hock_rear_right,399,588
69,hoof_front_left,1455,920
69,hoof_front_right,1089,933
